Citrate,MR,VP,Sucrose,Lactose,Glucose,H2S_Production,Gas_Production,Motility,Indole,Grams_Reaction,Coagulase,Production_System,Eggshell_Integrity,Salmonella,E.coli,S.aureus
+,+,+,+,-,+,+,+,+,+,negative,-,Cage,Intact,0,0,0
+,+,-,+,-,+,+,+,+,-,negative,-,Free-Range,Cracked,1,0,0
+,+,+,+,-,+,-,+,-,-,negative,+,Barn,Cracked,0,0,0
+,+,-,-,-,+,+,-,-,-,negative,-,Free-Range,Intact,0,0,0
-,+,-,+,+,+,-,+,-,-,negative,-,Free-Range,Intact,0,0,0
-,+,-,-,-,+,-,-,+,+,negative,-,Cage,Intact,0,0,0
-,-,-,+,+,+,+,-,-,-,negative,-,Cage,Intact,0,0,0
-,+,-,+,+,+,-,+,+,-,negative,-,Free-Range,Intact,0,0,0
-,-,-,-,-,+,-,-,+,-,negative,-,Free-Range,Intact,0,0,0
-,+,+,-,-,+,-,-,+,-,positive,-,Barn,Intact,0,0,0
-,+,-,+,+,+,-,-,+,-,negative,-,Free-Range,Intact,0,0,0
-,+,-,+,-,+,-,+,+,-,negative,-,Free-Range,Intact,0,0,0
+,-,-,-,+,+,-,+,+,+,negative,-,Cage,Intact,0,0,0
-,+,-,+,+,+,+,-,-,-,positive,+,Free-Range,Intact,0,0,1
+,-,-,+,+,+,-,-,+,-,positive,-,Free-Range,Intact,0,0,0
+,+,-,-,-,+,-,-,-,-,positive,-,Cage,Intact,0,0,0
-,-,+,-,-,+,+,-,-,-,negative,-,Barn,Intact,0,0,0
+,+,-,-,+,+,-,-,+,+,negative,-,Cage,Intact,0,0,0
-,-,-,-,-,+,-,-,-,-,negative,-,Cage,Intact,0,0,0
-,+,-,-,+,+,-,+,+,+,negative,-,Free-Range,Intact,0,1,0
-,-,-,-,-,+,-,+,+,+,negative,-,Free-Range,Cracked,0,0,0
-,-,-,-,+,+,-,-,+,-,negative,-,Barn,Cracked,0,0,0
+,-,-,-,+,+,-,-,+,-,negative,-,Free-Range,Intact,0,0,0
-,+,-,+,-,+,-,-,+,-,negative,-,Barn,Intact,0,0,0
+,+,-,-,-,+,+,+,+,-,negative,-,Barn,Intact,1,0,0
-,+,-,-,+,+,-,-,-,-,negative,-,Barn,Intact,0,0,0
-,-,-,-,-,+,-,-,+,-,positive,-,Barn,Cracked,0,0,0
+,+,-,-,-,+,+,+,+,-,negative,-,Free-Range,Intact,1,0,0
+,-,+,-,+,+,-,+,-,-,positive,-,Cage,Cracked,0,0,0
-,+,-,+,+,+,-,+,-,-,negative,-,Cage,Intact,0,0,0
-,+,-,-,+,+,-,+,+,+,negative,+,Free-Range,Intact,0,0,0
+,+,-,+,-,+,+,+,-,-,negative,-,Free-Range,Intact,0,0,0
+,-,-,-,+,+,-,+,+,-,negative,-,Barn,Intact,0,0,0
-,+,-,+,-,+,-,+,+,-,negative,+,Free-Range,Intact,0,0,0
-,+,-,-,-,+,+,-,+,-,negative,-,Cage,Intact,0,0,0
-,+,-,+,+,+,-,-,+,-,positive,-,Free-Range,Intact,0,0,0
-,+,-,-,+,+,-,-,-,-,negative,-,Free-Range,Intact,0,0,0
+,+,-,-,+,+,-,+,+,-,positive,+,Barn,Intact,0,0,0
-,+,-,+,+,+,+,+,+,+,negative,-,Barn,Intact,0,1,0
-,-,-,-,-,+,-,-,+,+,negative,-,Barn,Intact,0,0,0
+,+,-,-,+,+,-,+,-,-,negative,-,Barn,Intact,0,0,0
-,+,-,+,+,+,+,-,+,+,negative,-,Cage,Intact,0,0,0
-,+,-,-,-,+,-,-,-,-,negative,-,Free-Range,Intact,0,0,0
-,+,-,+,+,+,-,+,+,+,positive,+,Free-Range,Cracked,0,0,0
-,+,-,-,-,+,-,-,+,-,negative,-,Barn,Intact,0,0,0
+,+,-,-,-,+,+,+,+,-,negative,-,Cage,Intact,1,0,0
+,+,-,-,-,+,+,+,+,-,negative,-,Cage,Intact,1,0,0
+,+,-,-,-,+,-,-,+,-,negative,-,Free-Range,Intact,0,0,0
-,-,+,+,-,+,+,+,+,-,negative,-,Barn,Intact,0,0,0
-,-,-,+,-,+,+,-,-,+,negative,-,Free-Range,Intact,0,0,0
-,-,-,-,+,+,-,+,+,+,negative,-,Free-Range,Intact,0,0,0
-,+,-,-,+,+,-,+,+,-,negative,+,Cage,Intact,0,0,0
-,+,-,-,-,+,-,-,+,-,negative,-,Cage,Intact,0,0,0
-,+,-,-,-,+,+,-,-,-,negative,-,Free-Range,Intact,0,0,0
-,+,-,-,+,+,+,+,+,-,negative,-,Barn,Cracked,0,0,0
-,-,-,-,+,+,-,+,+,-,negative,-,Barn,Cracked,0,0,0
-,+,-,-,+,+,-,-,-,-,positive,-,Free-Range,Intact,0,0,0
-,+,+,-,+,+,-,+,+,+,positive,-,Free-Range,Intact,0,0,0
-,+,-,+,+,+,-,+,-,+,positive,+,Barn,Intact,0,0,0
+,-,-,+,-,+,-,-,+,-,negative,-,Barn,Intact,0,0,0
-,+,-,-,+,+,+,-,+,-,negative,-,Barn,Intact,0,0,0
+,+,+,-,+,+,-,-,+,-,positive,-,Free-Range,Intact,0,0,0
-,+,+,-,-,+,-,+,+,-,negative,+,Cage,Intact,0,0,0
+,+,-,+,-,+,-,-,+,-,negative,+,Barn,Intact,0,0,0
-,+,-,-,-,+,-,-,+,-,negative,-,Barn,Intact,0,0,0
-,+,-,-,-,+,+,+,+,+,negative,+,Barn,Intact,0,0,0
+,+,-,-,+,+,+,-,-,+,negative,-,Free-Range,Intact,0,0,0
-,+,-,+,-,+,-,+,-,-,negative,-,Cage,Intact,0,0,0
+,+,-,+,-,+,-,+,-,-,negative,-,Cage,Intact,0,0,0
+,+,-,-,+,+,+,+,+,-,negative,+,Barn,Intact,0,0,0
+,+,-,-,-,+,+,+,+,-,negative,-,Free-Range,Intact,1,0,0
-,-,-,-,-,+,+,+,+,+,negative,-,Cage,Intact,0,0,0
+,+,-,-,-,+,+,+,+,-,negative,-,Free-Range,Intact,1,0,0
-,+,+,+,+,+,+,-,-,-,negative,-,Cage,Intact,0,0,0
-,+,-,-,+,+,-,+,+,-,negative,-,Barn,Intact,0,0,0
+,+,+,+,+,+,-,+,+,-,negative,-,Free-Range,Intact,0,0,0
-,+,+,-,+,+,-,-,+,+,negative,+,Barn,Intact,0,0,0
-,+,-,-,+,+,+,+,+,+,negative,-,Cage,Intact,0,1,0
+,+,-,-,+,+,-,-,+,-,negative,-,Cage,Intact,0,0,0
-,-,-,-,-,+,+,+,+,-,negative,-,Barn,Cracked,0,0,0
-,+,-,-,-,+,-,+,+,-,negative,-,Cage,Intact,0,0,0
-,+,-,-,+,+,-,+,+,+,negative,-,Barn,Intact,0,1,0
-,+,-,+,+,+,-,+,+,+,negative,-,Barn,Intact,0,1,0
-,-,-,-,+,+,-,+,-,-,positive,-,Barn,Intact,0,0,0
-,-,+,-,+,+,-,+,-,+,negative,-,Cage,Intact,0,0,0
+,-,-,+,-,+,-,+,+,-,negative,-,Free-Range,Intact,0,0,0
-,+,+,-,-,+,-,+,-,-,positive,-,Barn,Intact,0,0,0
+,-,-,-,-,+,-,-,+,-,negative,-,Free-Range,Cracked,0,0,0
-,+,-,-,+,+,-,+,-,-,negative,-,Cage,Intact,0,0,0
+,+,-,-,-,+,+,+,+,-,negative,-,Cage,Intact,1,0,0
+,+,-,-,+,+,-,-,+,+,negative,-,Free-Range,Intact,0,0,0
-,-,-,+,-,+,-,+,+,-,negative,+,Barn,Intact,0,0,0
-,+,-,+,-,+,-,+,+,-,negative,-,Cage,Intact,0,0,0
-,+,+,-,+,+,-,-,-,-,positive,-,Barn,Intact,0,0,0
+,+,-,-,-,+,+,+,+,-,negative,-,Barn,Intact,1,0,0
+,-,-,+,+,+,-,-,-,-,negative,-,Free-Range,Intact,0,0,0
+,+,-,-,+,+,+,-,+,-,negative,-,Cage,Intact,0,0,0
+,+,-,+,-,+,-,+,-,-,positive,+,Free-Range,Intact,0,0,1
-,+,-,-,-,+,-,-,+,+,negative,-,Cage,Intact,0,0,0
-,+,-,+,-,+,-,+,+,-,negative,-,Free-Range,Intact,0,0,0
-,-,-,-,-,+,-,+,+,-,negative,-,Cage,Intact,0,0,0
+,+,-,-,-,+,+,+,+,-,negative,-,Cage,Cracked,1,0,0
-,-,-,-,-,+,+,+,+,+,positive,-,Cage,Intact,0,0,0
-,+,-,-,-,+,-,+,+,-,negative,-,Barn,Intact,0,0,0
-,+,-,-,+,+,+,-,+,+,negative,-,Barn,Intact,0,0,0
-,-,+,-,-,+,+,+,-,-,negative,-,Free-Range,Intact,0,0,0
-,-,-,+,+,+,-,+,+,-,negative,-,Free-Range,Intact,0,0,0
+,+,+,-,-,+,-,+,+,-,negative,-,Cage,Intact,0,0,0
+,+,-,-,-,+,+,+,+,-,negative,-,Cage,Intact,1,0,0
-,-,+,-,+,+,-,-,-,-,negative,-,Barn,Intact,0,0,0
+,+,-,+,+,+,+,+,-,-,negative,+,Barn,Intact,0,0,0
+,-,-,+,-,+,-,+,+,-,negative,-,Barn,Cracked,0,0,0
+,+,-,-,-,+,+,+,+,-,negative,-,Free-Range,Cracked,1,0,0
+,-,-,-,+,+,-,-,+,-,negative,-,Barn,Intact,0,0,0
-,+,-,-,-,+,-,+,+,-,negative,-,Free-Range,Intact,0,0,0
-,-,-,-,-,+,-,+,+,-,negative,-,Barn,Intact,0,0,0
-,+,+,-,+,+,-,+,-,-,negative,-,Barn,Cracked,0,0,0
+,+,-,-,+,+,+,+,+,-,negative,-,Cage,Intact,0,0,0
-,+,-,-,+,+,-,+,-,-,negative,-,Free-Range,Intact,0,0,0
-,+,+,-,+,+,-,-,+,-,negative,-,Barn,Intact,0,0,0
+,-,+,-,-,+,+,-,-,+,negative,-,Cage,Intact,0,0,0
-,-,-,+,-,+,+,-,+,-,negative,-,Free-Range,Intact,0,0,0
-,-,-,-,-,+,-,+,+,-,positive,-,Free-Range,Cracked,0,0,0
-,+,-,-,+,+,-,+,+,-,negative,-,Barn,Intact,0,0,0
